Start;End;Sleep quality;Time in bed;Wake up;Sleep Notes;Heart rate;Activity (steps)
2018-03-12 23:44:07;2018-03-13 08:00:49;85%;8:16;;;0;4535
2018-03-14 00:58:41;2018-03-14 08:51:40;83%;7:52;;;0;7603
2018-03-15 00:50:51;2018-03-15 09:00:53;85%;8:10;;;0;6373
2018-03-16 00:27:45;2018-03-16 08:28:10;86%;8:00;;;0;6462
2018-03-17 01:50:00;2018-03-17 10:21:11;87%;8:31;;;0;9454
2018-03-18 02:13:30;2018-03-18 09:15:05;80%;7:01;;;0;9173
2018-03-19 00:20:00;2018-03-19 09:13:25;99%;8:53;;;0;8390
2018-03-19 23:25:21;2018-03-20 07:56:35;90%;8:31;;;0;7029
2018-03-21 00:03:59;2018-03-21 07:58:30;80%;7:54;;;0;8227
2018-03-21 23:40:02;2018-03-22 08:16:35;89%;8:36;;;0;6523
2018-03-22 23:48:55;2018-03-23 07:35:51;86%;7:46;;;0;5151
2018-03-25 00:34:15;2018-03-25 07:21:16;0%;0:00;;;0;1193
2018-03-26 01:01:58;2018-03-26 08:44:11;85%;7:42;;;0;2313
2018-03-27 00:12:45;2018-03-27 07:31:43;76%;7:18;;;0;7113
2018-03-27 07:31:59;2018-03-27 08:37:42;14%;1:05;;;0;0
2018-03-28 00:52:29;2018-03-28 08:04:41;78%;7:12;;;0;7996
2018-03-29 00:34:54;2018-03-29 08:08:38;82%;7:33;;;0;7153
2018-03-30 00:59:18;2018-03-30 08:32:18;82%;7:32;;;0;6576
2018-03-31 00:58:34;2018-03-31 09:38:54;90%;8:40;;;0;3754
2018-04-01 00:53:40;2018-04-01 09:07:27;91%;8:13;;;0;3036
2018-04-01 22:41:32;2018-04-02 08:10:17;90%;9:28;;;0;4278
2018-04-03 01:01:44;2018-04-03 09:28:55;97%;8:27;;;0;5146
2018-04-05 00:02:27;2018-04-05 07:54:51;80%;7:52;;;0;8541
2018-04-05 23:28:31;2018-04-06 07:14:14;81%;7:45;;;0;7455
2018-04-07 00:51:19;2018-04-07 08:25:00;79%;7:33;;;0;7031
2018-04-07 23:43:32;2018-04-08 08:12:12;85%;8:28;;;0;3477
2018-04-09 00:37:45;2018-04-09 07:34:32;76%;6:56;;;0;2983
2018-04-09 07:34:46;2018-04-09 07:58:41;5%;0:23;;;0;0
2018-04-10 23:06:42;2018-04-11 07:11:40;79%;8:04;;;0;5044
2018-04-11 23:22:39;2018-04-12 08:00:40;85%;8:38;;;0;6202
2018-04-12 22:39:06;2018-04-13 08:22:17;94%;9:43;;;0;6108
2018-04-13 23:08:23;2018-04-14 01:05:24;23%;1:57;;;0;2220
2018-04-14 01:45:15;2018-04-14 06:33:55;55%;4:48;;;0;2220
2018-04-14 23:32:04;2018-04-15 08:05:58;95%;8:33;;;0;4780
2018-04-16 01:29:28;2018-04-16 09:04:50;81%;7:35;;;0;1870
2018-04-17 00:43:46;2018-04-17 08:00:44;76%;7:16;;;0;3955
2018-04-17 23:59:04;2018-04-18 08:00:54;78%;8:01;;;0;6223
2018-04-20 02:50:49;2018-04-20 09:57:26;77%;7:06;;;0;6082
2018-04-21 01:05:25;2018-04-21 09:25:24;82%;8:19;;;0;4517
2018-04-23 00:08:16;2018-04-23 09:10:01;95%;9:01;;;0;2745
2018-04-23 23:54:46;2018-04-24 07:48:59;72%;7:54;;;0;4460
2018-04-24 07:49:17;2018-04-24 08:31:34;9%;0:42;;;0;0
2018-04-25 00:16:42;2018-04-25 08:31:30;81%;8:14;;;0;4781
2018-04-26 00:05:28;2018-04-26 08:13:50;86%;8:08;;;0;8039
2018-04-27 01:04:42;2018-04-27 09:58:54;97%;8:54;;;0;5364
2018-04-28 01:18:52;2018-04-28 08:29:53;0%;0:00;;;0;2906
2018-04-29 00:24:08;2018-04-29 08:43:19;84%;8:19;;;0;1107
2018-04-29 23:46:18;2018-04-30 08:17:12;89%;8:30;;;0;7683
2018-04-30 23:15:58;2018-05-01 08:13:55;92%;8:57;;;0;5549
2018-05-02 02:13:08;2018-05-02 10:02:56;88%;7:49;;;0;3941
2018-05-02 23:10:37;2018-05-03 07:13:31;78%;8:02;;;0;3014
2018-05-04 02:54:40;2018-05-04 09:40:13;71%;6:45;;;0;2976
2018-05-05 00:08:37;2018-05-05 08:33:04;90%;8:24;;;0;962
2018-05-06 00:29:20;2018-05-06 09:48:30;100%;9:19;;;0;3621
